datetime,team.name,period,player.name,pass.recipient.name,pass.length
2023-08-13 00:00:00.474,Montpellier,1,Téji Savanier,Jordan Ferri,11.4337225
2023-08-13 00:00:01.066,Le Havre,2,Nabil Alioui,Oussama Targhalline,11.815245
2023-08-13 00:00:02.175,Montpellier,1,Jordan Ferri,Falaye Sacko,22.37588
2023-08-13 00:00:02.815,Le Havre,2,Oussama Targhalline,Issa Soumaré,52.5
2023-08-13 00:00:05.783,Montpellier,1,Falaye Sacko,Christopher Jullien,15.508062
2023-08-13 00:00:07.487,Montpellier,2,Falaye Sacko,Moussa Al Tamari,19.615555
2023-08-13 00:00:07.982,Montpellier,1,Christopher Jullien,Joris Chotard,22.297085
2023-08-13 00:00:08.900,Le Havre,2,Daler Kuzyaev,Gautier Lloris,9.449339
2023-08-13 00:00:10.370,Montpellier,1,Joris Chotard,Issiaga Sylla,29.767431
2023-08-13 00:00:10.550,Montpellier,2,Téji Savanier,Moussa Al Tamari,15.445711
2023-08-13 00:00:13.286,Montpellier,1,Issiaga Sylla,Wahbi Khazri,13.629746
2023-08-13 00:00:15.722,Montpellier,2,Moussa Al Tamari,Akor Jerome Adams,13.086252
2023-08-13 00:00:15.789,Montpellier,1,Wahbi Khazri,Boubakar Kouyate,23.207111
2023-08-13 00:00:21.071,Montpellier,1,Boubakar Kouyate,Christopher Jullien,26.2
2023-08-13 00:00:24.572,Montpellier,1,Christopher Jullien,Boubakar Kouyate,22.073513
2023-08-13 00:00:27.026,Montpellier,1,Boubakar Kouyate,Issiaga Sylla,25.41358
2023-08-13 00:00:30.511,Montpellier,1,Issiaga Sylla,Wahbi Khazri,16.070158
2023-08-13 00:00:33.923,Montpellier,1,Wahbi Khazri,Moussa Al Tamari,61.636757
2023-08-13 00:00:39.606,Le Havre,2,Arouna Sangante,Issa Soumaré,66.75867
2023-08-13 00:00:42.638,Montpellier,2,Christopher Jullien,Falaye Sacko,12.442669
2023-08-13 00:00:43.967,Montpellier,2,Falaye Sacko,Christopher Jullien,11.901681
2023-08-13 00:00:46.139,Montpellier,2,Christopher Jullien,Boubakar Kouyate,15.536408
2023-08-13 00:00:48.808,Montpellier,2,Boubakar Kouyate,Issiaga Sylla,21.664026
2023-08-13 00:00:53.849,Le Havre,1,Josue Casimir,Issa Soumaré,27.576982
2023-08-13 00:00:55.450,Montpellier,2,Issiaga Sylla,Joris Chotard,12.944883
2023-08-13 00:00:55.599,Montpellier,1,Christopher Jullien,Boubakar Kouyate,24.301645
2023-08-13 00:00:56.470,Montpellier,2,Joris Chotard,Boubakar Kouyate,12.998846
2023-08-13 00:00:58.473,Montpellier,1,Boubakar Kouyate,Joris Chotard,5.72014
2023-08-13 00:01:00.125,Montpellier,2,Boubakar Kouyate,Christopher Jullien,22.562136
2023-08-13 00:01:00.515,Montpellier,1,Joris Chotard,Falaye Sacko,13.85388
2023-08-13 00:01:02.081,Montpellier,1,Falaye Sacko,Jordan Ferri,7.7162166
2023-08-13 00:01:02.264,Montpellier,2,Christopher Jullien,Jordan Ferri,25.312447
2023-08-13 00:01:02.842,Montpellier,1,Jordan Ferri,Moussa Al Tamari,19.886175
2023-08-13 00:01:06.310,Montpellier,2,Jordan Ferri,Falaye Sacko,16.86683
